"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Mar 30 18:02:40 GMT 2023","Thu Mar 30 18:02:58 GMT 2023","18145","","VideoPlayTest","","VideoPlayTest","videoQuality720pTest","videoQuality720pTest()",""
"broken","Thu Mar 30 18:02:21 GMT 2023","Thu Mar 30 18:02:40 GMT 2023","18149","","LoginTest","","LoginTest","accountSettingsTest","accountSettingsTest()",""
"broken","Thu Mar 30 17:59:46 GMT 2023","Thu Mar 30 18:00:03 GMT 2023","16662","","SearchTest","","SearchTest","searchForAVideoAndValidate","Search for a video and validate",""
"broken","Thu Mar 30 18:00:10 GMT 2023","Thu Mar 30 18:00:23 GMT 2023","13421","","SearchTest","","SearchTest","testSearchInoutField","Clear search input after searching",""
"broken","Thu Mar 30 18:06:47 GMT 2023","Thu Mar 30 18:07:02 GMT 2023","14927","","TestYoutube","","TestYoutube","UnsubscribeFromChannel","UnsubscribeFromChannel()",""
"broken","Thu Mar 30 18:00:03 GMT 2023","Thu Mar 30 18:00:10 GMT 2023","6885","","SearchTest","","SearchTest","testWithWronglyWriteInputDate","Search with wrongly write input data",""
"broken","Thu Mar 30 18:03:15 GMT 2023","Thu Mar 30 18:03:33 GMT 2023","18004","","VideoPlayTest","","VideoPlayTest","videoSpeed025Test","videoSpeed025Test()",""
"broken","Thu Mar 30 18:04:27 GMT 2023","Thu Mar 30 18:04:44 GMT 2023","17832","","VideoPlayTest","","VideoPlayTest","playStopActionsTest","playStopActionsTest()",""
"broken","Thu Mar 30 18:05:02 GMT 2023","Thu Mar 30 18:05:21 GMT 2023","18342","","VideoPlayTest","","VideoPlayTest","theaterModeTest","theaterModeTest()",""
"broken","Thu Mar 30 18:03:33 GMT 2023","Thu Mar 30 18:03:51 GMT 2023","17522","","VideoPlayTest","","VideoPlayTest","stopVideoTest","stopVideoTest()",""
"broken","Thu Mar 30 17:59:21 GMT 2023","Thu Mar 30 17:59:27 GMT 2023","6299","","PlaylistTest","","PlaylistTest","createANewPlaylist","Create new playlist",""
"broken","Thu Mar 30 18:04:44 GMT 2023","Thu Mar 30 18:05:02 GMT 2023","17923","","VideoPlayTest","","VideoPlayTest","videoSpeed05Test","videoSpeed05Test()",""
"broken","Thu Mar 30 17:59:21 GMT 2023","Thu Mar 30 17:59:46 GMT 2023","25385","","SearchTest","","SearchTest","goToLibraryAndDeleteHistory","Delete history",""
"broken","Thu Mar 30 18:03:51 GMT 2023","Thu Mar 30 18:04:09 GMT 2023","17604","","VideoPlayTest","","VideoPlayTest","miniplayerTest","miniplayerTest()",""
"broken","Thu Mar 30 18:00:31 GMT 2023","Thu Mar 30 18:00:49 GMT 2023","18181","","PlaylistTest","","PlaylistTest","addMultipleVioToPlaylist","Add multiple Video To test playlist",""
"broken","Thu Mar 30 18:05:38 GMT 2023","Thu Mar 30 18:05:56 GMT 2023","17598","","VideoPlayTest","","VideoPlayTest","fullScreenTest","fullScreenTest()",""
"broken","Thu Mar 30 18:00:23 GMT 2023","Thu Mar 30 18:00:31 GMT 2023","7474","","SearchTest","","SearchTest","testSearchInputVariations","Test search input variation while navigate through youtube",""
"broken","Thu Mar 30 17:59:27 GMT 2023","Thu Mar 30 18:00:09 GMT 2023","41425","","PlaylistTest","","PlaylistTest","goToPlaylist","Go to playlistMenu",""
"broken","Thu Mar 30 18:01:26 GMT 2023","Thu Mar 30 18:01:45 GMT 2023","18645","","LoginTest","","LoginTest","logOutFunctionTest","logOutFunctionTest()",""
"broken","Thu Mar 30 18:01:45 GMT 2023","Thu Mar 30 18:02:02 GMT 2023","17503","","LoginTest","","LoginTest","loginFunctionTest","loginFunctionTest()",""
"broken","Thu Mar 30 18:05:21 GMT 2023","Thu Mar 30 18:05:38 GMT 2023","17676","","VideoPlayTest","","VideoPlayTest","videoSpeed2Test","videoSpeed2Test()",""
"broken","Thu Mar 30 18:04:09 GMT 2023","Thu Mar 30 18:04:27 GMT 2023","18056","","VideoPlayTest","","VideoPlayTest","navigateToVideoTest","navigateToVideoTest()",""
"broken","Thu Mar 30 18:07:02 GMT 2023","Thu Mar 30 18:07:17 GMT 2023","14897","","TestYoutube","","TestYoutube","AddCommentAndLike","AddCommentAndLike()",""
"broken","Thu Mar 30 18:02:58 GMT 2023","Thu Mar 30 18:03:15 GMT 2023","17634","","VideoPlayTest","","VideoPlayTest","videoQuality480pTest","videoQuality480pTest()",""
"broken","Thu Mar 30 18:00:27 GMT 2023","Thu Mar 30 18:00:31 GMT 2023","4334","","PlaylistTest","","PlaylistTest","addVideoToPlaylist","Add video to already created playlist",""
"broken","Thu Mar 30 18:02:02 GMT 2023","Thu Mar 30 18:02:21 GMT 2023","19077","","LoginTest","","LoginTest","logOutTest","logOutTest()",""
"broken","Thu Mar 30 18:00:49 GMT 2023","Thu Mar 30 18:01:26 GMT 2023","36896","","PlaylistTest","","PlaylistTest","deletePlaylist","Delete playlist",""
"broken","Thu Mar 30 18:06:29 GMT 2023","Thu Mar 30 18:06:47 GMT 2023","18026","","TestYoutube","","TestYoutube","SubscribeToChannel","SubscribeToChannel()",""
"broken","Thu Mar 30 18:05:56 GMT 2023","Thu Mar 30 18:06:14 GMT 2023","17679","","VideoPlayTest","","VideoPlayTest","annotationsTest","annotationsTest()",""
"broken","Thu Mar 30 18:06:14 GMT 2023","Thu Mar 30 18:06:29 GMT 2023","14970","","VideoPlayTest","","VideoPlayTest","likeDislikeVideoTest","likeDislikeVideoTest()",""
"broken","Thu Mar 30 18:00:09 GMT 2023","Thu Mar 30 18:00:27 GMT 2023","18119","","PlaylistTest","","PlaylistTest","deleteAnAddedVideoFromPlaylist","Delete previously added video from playlist",""
